Episode Num,Action,Timestep,SoC,Is Charging,Episode Reward,Latitude,Longitude
10000,0,13,-0.7,False,-3768.22,43.000425559599385,-81.26330536314417
Best, ,0,50.0,False,0,42.98904084,-81.22821493
Best,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
Best,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
Best,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
Best,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
Best,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
Best,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
Best,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
Best,0,8,18.8,False,-874.93,42.996880030058556,-81.25029256700999
Best,0,9,14.9,False,-982.38,42.99785851091225,-81.25305340204152
Best,0,10,11.0,False,-1098.05,42.998836588346045,-81.25581454606619
Best,0,11,7.1,False,-1231.79,42.9998142175033,-81.25857602841776
Best,0,12,3.2,False,-1409.75,43.00079133972159,-81.2613378874456
Best,0,13,-0.7,False,-3753.64,43.00176787499507,-81.26410017543039
